"Population by ethnicity and sex at country and municipal level for the years 2011 and 2024"

"Sex","Municipality","2024 Total","2024 Albanian","2024 Serb","2024 Bosniak","2024 Turk","2024 Romani","2024 Ashkali","2024 Egyptian","2024 Gorani","2024 Others","2024 Prefers not to answer","2011 Total","2011 Albanian","2011 Serb","2011 Bosniak","2011 Turk","2011 Romani","2011 Ashkali","2011 Egyptian","2011 Gorani","2011 Others","2011 Prefers not to answer"
"Total","KOSOVA",1585566,1454963,36652,26841,19419,8730,16207,10581,9140,2051,982,1739825,1616869,25532,27533,18738,8824,15436,11524,10265,2352,2752
"Total","Deçan",27775,27266,2,58,0,36,29,341,0,3,40,40019,39402,3,60,0,33,42,393,1,19,66
"Total","Gjakovë",78699,72096,15,41,10,536,1074,4738,14,28,147,94556,87672,17,73,16,738,613,5117,13,92,205
"Total","Gllogoc",48079,48036,0,13,3,0,1,0,0,15,11,58531,58445,2,14,5,0,0,2,0,22,41
"Total","Gjilan",82980,80642,940,66,745,409,15,1,62,41,59,90178,87814,624,121,978,361,15,1,69,95,100
"Total","Dragash",28896,17554,17,2900,354,0,0,5,7828,212,26,33997,20287,7,4100,202,3,4,3,8957,283,151
"Total","Istog",33008,29892,543,996,3,80,220,1230,0,15,29,39289,36154,194,1142,10,39,111,1544,0,45,50
"Total","Kaçanik",27716,27685,6,6,0,5,1,0,0,11,2,33409,33362,1,20,2,5,1,0,0,7,11
"Total","Klinë",30503,29151,327,14,0,86,41,865,0,10,9,38496,37216,98,20,3,78,85,934,0,23,39
"Total","Fushë Kosovë",63949,58401,516,50,195,498,3224,850,37,102,76,34827,30275,321,34,62,436,3230,282,15,131,41
"Total","Kamenicë",22868,20558,1888,12,3,379,1,0,10,15,2,36085,34186,1554,9,5,240,0,0,29,27,35
"Total","Mitrovicë",64742,62693,18,278,257,372,1012,47,10,43,12,71909,69497,14,416,518,528,647,6,23,47,213
"Total","Leposaviq",3185,172,2677,34,3,0,0,0,0,156,143,:,:,:,:,:,:,:,:,:,:,:
"Total","Lipjan",55044,51861,569,39,153,318,1891,11,11,180,11,57605,54467,513,42,128,342,1812,4,6,260,31
"Total","Novobërdë",4493,3801,606,4,2,63,0,0,0,12,5,6729,3524,3122,5,7,63,3,0,0,2,3
"Total","Obiliq",22815,19242,1600,54,1,1214,638,23,0,33,10,21549,19854,276,58,2,661,578,27,5,48,40
"Total","Rahovec",41799,40491,582,9,0,108,323,255,0,18,13,56208,55166,134,10,2,84,404,299,0,11,98
"Total","Pejë",82745,75479,813,2974,28,889,309,1916,192,91,54,96450,87975,332,3786,59,993,143,2700,189,132,141
"Total","Podujevë",70975,70071,15,21,4,56,752,13,0,23,20,88499,87523,12,33,5,74,680,2,0,43,127
"Total","Prishtinë",227466,222898,770,356,2138,57,427,17,188,515,100,198897,194452,430,400,2156,56,557,8,205,334,299
"Total","Prizren",147246,114484,202,18379,9819,2101,1260,117,565,235,84,177781,145718,237,16896,9091,2899,1350,168,655,386,381
"Total","Skënderaj",40664,40389,223,15,5,2,3,8,0,11,8,50858,50685,50,42,1,0,10,1,0,5,64
"Total","Shtime",24308,23533,0,10,1,17,732,1,0,8,6,27324,26447,49,20,1,23,750,0,2,13,19
