municipality,municipality_alb,pop_2011,pop_2024,pop_change_pct
Decan,Deçan,40019.0,27775,-30.6
Dragash,Dragash,33997.0,28896,-15.0
Ferizaj,Ferizaj,108610.0,109255,0.59
Fushe Kosove,Fushë Kosovë,34827.0,63949,83.62
Gjakove,Gjakovë,94556.0,78699,-16.77
Gjilan,Gjilan,90178.0,82980,-7.98
Gllogoc,Gllogoc,58531.0,48079,-17.86
Gracanice,Graçanicë,10675.0,18486,73.17
Hani i Elezit,Hani i Elezit,9403.0,8533,-9.25
Istog,Istog,39289.0,33008,-15.99
Junik,Junik,6084.0,3943,-35.19
Kacanik,Kaçanik,33409.0,27716,-17.04
Kamenice,Kamenicë,36085.0,22868,-36.63
Kline,Klinë,38496.0,30503,-20.76
Kllokot,Kllokot,2556.0,3041,18.97
Leposaviq,Leposaviq,,3185,
Lipjan,Lipjan,57605.0,55044,-4.45
Malisheve,Malishevë,54613.0,43888,-19.64
Mamushe,Mamushë,5507.0,5607,1.82
Mitrovica e Veriut,Mitrovicë e Veriut,,2326,
Mitrovice e Jugut,Mitrovicë,71909.0,64742,-9.97
Novoberde,Novobërdë,6729.0,4493,-33.23
Obiliq,Obiliq,21549.0,22815,5.87
Partesh,Partesh,1787.0,3240,81.31
Peje,Pejë,96450.0,82745,-14.21
Podujeve,Podujevë,88499.0,70975,-19.8
Prishtine,Prishtinë,198897.0,227466,14.36
Prizren,Prizren,177781.0,147246,-17.18
Rahovec,Rahovec,56208.0,41799,-25.64
Ranillug,Ranillug,3866.0,2481,-35.83
Shterpc,Shtërpcë,6949.0,10771,55.0
Shtime,Shtime,27324.0,24308,-11.04
Skenderaj,Skënderaj,50858.0,40664,-20.04
Suhareke,Suharekë,59722.0,45749,-23.4
Viti,Viti,46987.0,35566,-24.31
Vushtrri,Vushtrri,69870.0,61528,-11.94
Zubin Potok,Zubin Potok,,763,
Zveqan,Zveqan,,434,
